home_team_name,away_team_name,match_date,home_team_score,away_team_score,total_goals,is_knockout_stage,home_team_mean_goals,away_team_mean_goals,home_team_mean_conceded,away_team_mean_conceded
France,Mexico,1930-07-13,4,1,5,False,1.8630136986301369,1.0333333333333334,1.1643835616438356,1.6833333333333333
USA,Belgium,1930-07-13,3,0,3,False,1.0810810810810811,1.3529411764705883,1.7837837837837838,1.4509803921568627
Yugoslavia,Brazil,1930-07-14,2,1,3,False,1.6216216216216217,2.0789473684210527,1.2432432432432432,0.9473684210526315
Romania,Peru,1930-07-14,3,1,4,False,1.4285714285714286,1.1666666666666667,1.5238095238095237,1.8333333333333333
Argentina,France,1930-07-15,1,0,1,False,1.7272727272727273,1.8630136986301369,1.1477272727272727,1.1643835616438356
Chile,Mexico,1930-07-16,3,0,3,False,1.2121212121212122,1.0333333333333334,1.4848484848484849,1.6833333333333333
Yugoslavia,Bolivia,1930-07-17,4,0,4,False,1.6216216216216217,0.16666666666666666,1.2432432432432432,3.3333333333333335
USA,Paraguay,1930-07-17,3,0,3,False,1.0810810810810811,1.1111111111111112,1.7837837837837838,1.4074074074074074
Uruguay,Peru,1930-07-18,1,0,1,False,1.5084745762711864,1.1666666666666667,1.2881355932203389,1.8333333333333333
Chile,France,1930-07-19,1,0,1,False,1.2121212121212122,1.8630136986301369,1.4848484848484849,1.1643835616438356
Argentina,Mexico,1930-07-19,6,3,9,False,1.7272727272727273,1.0333333333333334,1.1477272727272727,1.6833333333333333
Brazil,Bolivia,1930-07-20,4,0,4,False,2.0789473684210527,0.16666666666666666,0.9473684210526315,3.3333333333333335
Paraguay,Belgium,1930-07-20,1,0,1,False,1.1111111111111112,1.3529411764705883,1.4074074074074074,1.4509803921568627
Uruguay,Romania,1930-07-21,4,0,4,False,1.5084745762711864,1.4285714285714286,1.2881355932203389,1.5238095238095237
Argentina,Chile,1930-07-22,3,1,4,False,1.7272727272727273,1.2121212121212122,1.1477272727272727,1.4848484848484849
Argentina,USA,1930-07-26,6,1,7,True,1.7272727272727273,1.0810810810810811,1.1477272727272727,1.7837837837837838
Uruguay,Yugoslavia,1930-07-27,6,1,7,True,1.5084745762711864,1.6216216216216217,1.2881355932203389,1.2432432432432432
Uruguay,Argentina,1930-07-30,4,2,6,True,1.5084745762711864,1.7272727272727273,1.2881355932203389,1.1477272727272727
Austria,France,1934-05-27,3,2,5,True,1.4827586206896552,1.8630136986301369,1.6206896551724137,1.1643835616438356
Czechia,Romania,1934-05-27,2,1,3,True,1.4242424242424243,1.4285714285714286,1.4848484848484849,1.5238095238095237
Germany,Belgium,1934-05-27,5,2,7,True,2.02,1.3529411764705883,1.06,1.4509803921568627
Hungary,Egypt,1934-05-27,4,2,6,True,2.71875,0.7142857142857143,1.78125,1.7142857142857142
Italy,USA,1934-05-27,7,1,8,True,1.5421686746987953,1.0810810810810811,0.927710843373494,1.7837837837837838
Spain,Brazil,1934-05-27,3,1,4,True,1.6119402985074627,2.0789473684210527,1.1194029850746268,0.9473684210526315
Sweden,Argentina,1934-05-27,3,2,5,True,1.5686274509803921,1.7272727272727273,1.4313725490196079,1.1477272727272727
Switzerland,Netherlands,1934-05-27,3,2,5,True,1.3414634146341464,1.7454545454545454,1.7804878048780488,0.9454545454545454
Austria,Hungary,1934-05-31,2,1,3,True,1.4827586206896552,2.71875,1.6206896551724137,1.78125
Czechia,Switzerland,1934-05-31,3,2,5,True,1.4242424242424243,1.3414634146341464,1.4848484848484849,1.7804878048780488
Germany,Sweden,1934-05-31,2,1,3,True,2.02,1.5686274509803921,1.06,1.4313725490196079
Italy,Spain,1934-05-31,1,1,2,True,1.5421686746987953,1.6119402985074627,0.927710843373494,1.1194029850746268
Italy,Spain,1934-06-01,1,0,1,True,1.5421686746987953,1.6119402985074627,0.927710843373494,1.1194029850746268
Czechia,Germany,1934-06-03,3,1,4,True,1.4242424242424243,2.02,1.4848484848484849,1.06
Italy,Austria,1934-06-03,1,0,1,True,1.5421686746987953,1.4827586206896552,0.927710843373494,1.6206896551724137
Germany,Austria,1934-06-07,3,2,5,True,2.02,1.4827586206896552,1.06,1.6206896551724137
Italy,Czechia,1934-06-10,2,1,3,True,1.5421686746987953,1.4242424242424243,0.927710843373494,1.4848484848484849
Switzerland,Germany,1938-06-04,1,1,2,True,1.3414634146341464,2.02,1.7804878048780488,1.06
Cuba,Romania,1938-06-05,3,3,6,True,1.6666666666666667,1.4285714285714286,4.0,1.5238095238095237
France,Belgium,1938-06-05,3,1,4,True,1.8630136986301369,1.3529411764705883,1.1643835616438356,1.4509803921568627
Hungary,Dutch East Indies,1938-06-05,6,0,6,True,2.71875,0.0,1.78125,6.0
Italy,Norway,1938-06-05,2,1,3,True,1.5421686746987953,0.875,0.927710843373494,1.0
Brazil,Poland,1938-06-05,6,5,11,True,2.0789473684210527,1.2894736842105263,0.9473684210526315,1.3157894736842106
Czechia,Netherlands,1938-06-05,3,0,3,True,1.4242424242424243,1.7454545454545454,1.4848484848484849,0.9454545454545454
Cuba,Romania,1938-06-09,2,1,3,True,1.6666666666666667,1.4285714285714286,4.0,1.5238095238095237
Switzerland,Germany,1938-06-09,4,2,6,True,1.3414634146341464,2.02,1.7804878048780488,1.06
Brazil,Czechia,1938-06-12,1,1,2,True,2.0789473684210527,1.4242424242424243,0.9473684210526315,1.4848484848484849
Hungary,Switzerland,1938-06-12,2,0,2,True,2.71875,1.3414634146341464,1.78125,1.7804878048780488
Italy,France,1938-06-12,3,1,4,True,1.5421686746987953,1.8630136986301369,0.927710843373494,1.1643835616438356
Sweden,Cuba,1938-06-12,8,0,8,True,1.5686274509803921,1.6666666666666667,1.4313725490196079,4.0
Brazil,Czechia,1938-06-14,2,1,3,True,2.0789473684210527,1.4242424242424243,0.9473684210526315,1.4848484848484849
Hungary,Sweden,1938-06-16,5,1,6,True,2.71875,1.5686274509803921,1.78125,1.4313725490196079
Italy,Brazil,1938-06-16,2,1,3,True,1.5421686746987953,2.0789473684210527,0.927710843373494,0.9473684210526315
Brazil,Sweden,1938-06-19,4,2,6,True,2.0789473684210527,1.5686274509803921,0.9473684210526315,1.4313725490196079
Italy,Hungary,1938-06-19,4,2,6,True,1.5421686746987953,2.71875,0.927710843373494,1.78125
Brazil,Mexico,1950-06-24,4,0,4,False,2.0789473684210527,1.0333333333333334,0.9473684210526315,1.6833333333333333
Yugoslavia,Switzerland,1950-06-25,3,0,3,False,1.6216216216216217,1.3414634146341464,1.2432432432432432,1.7804878048780488
England,Chile,1950-06-25,2,0,2,False,1.4054054054054055,1.2121212121212122,0.918918918918919,1.4848484848484849
Spain,USA,1950-06-25,3,1,4,False,1.6119402985074627,1.0810810810810811,1.1194029850746268,1.7837837837837838
Sweden,Italy,1950-06-25,3,2,5,False,1.5686274509803921,1.5421686746987953,1.4313725490196079,0.927710843373494
Brazil,Switzerland,1950-06-28,2,2,4,False,2.0789473684210527,1.3414634146341464,0.9473684210526315,1.7804878048780488
Yugoslavia,Mexico,1950-06-28,4,1,5,False,1.6216216216216217,1.0333333333333334,1.2432432432432432,1.6833333333333333
Spain,Chile,1950-06-29,2,0,2,False,1.6119402985074627,1.2121212121212122,1.1194029850746268,1.4848484848484849
USA,England,1950-06-29,1,0,1,False,1.0810810810810811,1.4054054054054055,1.7837837837837838,0.918918918918919
Sweden,Paraguay,1950-06-29,2,2,4,False,1.5686274509803921,1.1111111111111112,1.4313725490196079,1.4074074074074074
Brazil,Yugoslavia,1950-07-01,2,0,2,False,2.0789473684210527,1.6216216216216217,0.9473684210526315,1.2432432432432432
Chile,USA,1950-07-02,5,2,7,False,1.2121212121212122,1.0810810810810811,1.4848484848484849,1.7837837837837838
Spain,England,1950-07-02,1,0,1,False,1.6119402985074627,1.4054054054054055,1.1194029850746268,0.918918918918919
Italy,Paraguay,1950-07-02,2,0,2,False,1.5421686746987953,1.1111111111111112,0.927710843373494,1.4074074074074074
Uruguay,Bolivia,1950-07-02,8,0,8,False,1.5084745762711864,0.16666666666666666,1.2881355932203389,3.3333333333333335
